z,p,T_rho,T,qv,h,T_env,q_env,h_env,T_rho_u,T_u,qv_u,h_u,CAPE_u,B_u,T_rho_w,T_w,qv_w,h_w,CAPE_w,B_w,ent
2300.0,76971.93497224835,286.38210932058325,284.4936792332186,0.010921312713228439,61384.06255687709,285.0139467632831,0.00789801841402514,54328.50166669123,288.40881902959774,286.2711212429741,0.012286136095963093,66618.74505250002,2849.690926215627,0.06942480552503945,287.8897886778995,285.8182494596749,0.011924763044286659,65250.07933589247,905.7088881945941,0.05164545554315942,0.00042333333333333334
2350.0,76514.01661538356,286.0780458936462,284.2150762442697,0.010784629293182454,61248.68021458796,284.72880934902787,0.007796563796404491,54275.539235473276,288.16675078899135,286.0490378727812,0.012180725250311218,66618.74505250002,2849.690926215627,0.0716244930970805,287.6269219338847,285.57751926264547,0.01180727924391993,65200.932236381064,905.7088881945941,0.05311303741353304,0.0004216666666666667
2400.0,76058.3401199883,285.773922398693,283.93617298265775,0.010649080798972923,61115.90670394787,284.4434223694037,0.007696008635186688,54224.63248232352,287.9241679727524,285.8263779972352,0.012075531441317972,66618.74505250002,2849.690926215627,0.07381327485890701,287.36336130759315,285.3360167031723,0.011690081382968195,65151.76796787698,905.7088881945941,0.054561996299147895,0.00042
2450.0,75604.89678198041,285.46972717002177,283.65695990252374,0.01051465820589956,60985.70900122016,284.15777598750634,0.007596345049496824,54175.751064125274,287.6810650032754,285.60313564261423,0.011970557071910517,66618.74505250002,2849.690926215627,0.07599132965611495,287.0991020570374,285.09373599532455,0.011573175495148387,65102.59585819199,905.7088881945941,0.055992513812517984,0.00041833333333333333
2500.0,75153.67790451106,285.1654485719826,283.37742744456466,0.010381352695945659,60858.05459823729,283.87186036005875,0.007497565329048345,54128.86506951825,287.43743622975586,285.37930475731457,0.011865804576646974,66618.74505250002,2849.690926215627,0.07815883387825481,286.83413931358723,284.85067123377956,0.01145656759286872,65053.42505661869,905.7088881945941,0.05740476715224912,0.0004166666666666667
2550.0,74704.67479834947,284.86107499422326,283.09756603251907,0.010249155651962308,60732.91148397018,283.5856656336881,0.0073996619293435996,54083.94500281798,287.1932759272952,285.1548792109091,0.011761276422105196,66618.74505250002,2849.690926215627,0.08031596157495231,286.56846808168336,284.6068163932969,0.011340263668525172,65004.26453667674,905.7088881945941,0.05879892922654769,0.000415
2600.0,74257.87878225661,284.55659484722577,282.8173660698792,0.010118058652181832,60610.248127162915,283.29918194144,0.007302627467136312,54040.96176884234,286.9485782959993,284.92985279319845,0.011656975107274089,66618.74505250002,2849.690926215627,0.08246288456279383,286.3020832385328,284.36216532818037,0.011224269695770304,64955.12309877438,905.7088881945941,0.06017516876709664,0.0004133333333333333
2650.0,73813.28118334567,284.25199655811866,282.53681793681653,0.009988053465036506,60490.03345995712,283.0123993995192,0.007206454716138188,53999.88665858915,286.70333746007094,284.7042192132562,0.011552903163948108,66618.74505250002,2849.690926215627,0.08459977252344479,286.0349795337869,284.1167117717291,0.01110859163075529,64906.00937278968,905.7088881945941,0.06153365043375909,0.0004116666666666667
2700.0,73370.87333743265,283.94726856674674,282.25591198730933,0.009859132044259191,60372.23686243677,282.7253081042429,0.007111136602950897,53960.691335702635,286.4575474668961,284.47797209846806,0.01144906315712418,66618.74505250002,2849.690926215627,0.086726793093543,285.7671515892045,283.8704493356803,0.01099323541334522,64856.93182057578,905.7088881945941,0.06287453491074504,0.00041
2750.0,72930.64658937597,283.6423993219859,281.97463854646185,0.009731286524245533,60256.8281480298,282.43789812919545,0.007016666203207202,53923.34782367667,286.2112022861249,284.2511049935662,0.011345457685400868,66618.74505250002,2849.690926215627,0.08884411194673586,285.49859389830493,283.62337150964674,0.010878206968309637,64807.89873839385,905.7088881945941,0.0641979789947365,0.00040833333333333336
