z,p,T_rho,T,qv,h,qsat_env,T_env,q_env,h_env,T_rho_u,T_u,qv_u,h_u,CAPE_u,B_u,T_rho_w,T_w,qv_w,h_w,CAPE_w,B_w,ent,dh,dz,sat_def
7600.0,38963.57199861528,248.18339629655105,248.01736421622874,0.0011014289186754924,52001.1434413456,0.0011107259012776926,248.09968000421065,0.0005551755544796497,50739.36714073706,251.82846915677294,251.58793043483112,0.0015730471843199826,56765.232711822384,1920.76569818047,0.1440796011835125,248.83486987999993,248.65721276432146,0.0011755147932598139,52828.54886485974,211.37464715120862,0.025750940429540285,0.00012021498931137346,-4498.192380755398,4200.0,0.29861478828188404
7650.0,38696.21696721042,247.78018288079102,247.61992949922939,0.0010648002884060545,52000.852310408234,0.0010735219920035696,247.69940030592076,0.0005365859413375692,50781.030071048386,251.44726879719764,251.21410422825656,0.0015270916104155108,56765.232711822384,1920.76569818047,0.1451855932209735,248.42823279859482,248.2567547505062,0.001136459623669947,52819.14754710119,211.37464715120862,0.025657296801309928,0.00011992980317440589,-4498.192380755398,4200.0,0.29861478828188404
7700.0,38430.265842713685,247.3752946260613,247.22068061002506,0.0010289887258737277,52000.7900151311,0.0010371645251237927,247.29737376447508,0.0005184188626191997,50821.99559902384,251.06420021283,250.83826859481536,0.0014819371024388061,56765.232711822384,1920.76569818047,0.14628851220128453,248.01982481881865,247.8543787834262,0.0010982629222164332,52809.97601845895,211.37464715120862,0.0255597116135114,0.00011964631783752067,-4498.192380755398,4200.0,0.29861478828188404
7750.0,38165.71173656171,246.96873424823616,246.81962132955744,0.0009939902914231256,52000.949796691646,0.0010016484707399407,246.89360371956093,0.0005006718329220745,50862.2605670725,250.67925774134633,250.4604178756125,0.0014375861897199978,56765.232711822384,1920.76569818047,0.14738803103239684,247.60964927639796,247.45008915736454,0.001060921596671541,52801.03010657149,211.37464715120862,0.025458187836633655,0.00011936451663565607,-4498.192380755398,4200.0,0.29861478828188404
7800.0,37902.547805134556,246.5605054167764,246.41675644962746,0.0009598006714816954,52001.32497810191,0.0009669684423585383,246.4880944913707,0.0004833421877883792,50901.82235987253,250.29243656478252,250.0805473177181,0.001394041041276751,56765.232711822384,1920.76569818047,0.14848381536229985,247.19771052158504,247.04389124875243,0.0010244321221464252,52792.30564364374,211.37464715120862,0.025352730631397077,0.00011908438313232762,-4498.192380755398,4200.0,0.29861478828188404
7850.0,37640.76725041063,246.1506127610905,246.01209177916323,0.000926415176356992,52001.90896579096,0.0009331186955107314,246.08085138685985,0.0004664270830095469,50940.67890923715,249.9037327357413,249.69865310182394,0.0013513034545208089,56765.232711822384,1920.76569818047,0.14957552426269696,246.7840139285882,246.63579152559143,0.0009887905379174354,52783.79846886677,211.37464715120862,0.02524334749141219,0.0001188059011155908,-4498.192380755398,4200.0,0.29861478828188404
7900.0,37380.363320605895,245.73906187489308,245.60563414834297,0.0008938287388875439,52002.69525119459,0.0009000931271889208,245.67188070393343,0.0004499234943402909,50978.82869792133,249.51314320263197,249.3147323688473,0.0013093748443696455,56765.232711822384,1920.76569818047,0.15066281096152068,246.36856590279027,246.2257975545062,0.0009539924451948028,52775.504430848436,211.37464715120862,0.025130048379591024,0.00011852905459409104,-4498.192380755398,4200.0,0.29861478828188404
7950.0,37121.3293107963,245.32585931848442,245.1973914104937,0.0008620359139776808,52003.6774123459,0.000867885276128015,245.2611897334853,0.00043382821763594245,51016.27076232552,249.12066583380675,248.92878324533743,0.001268256232821041,56765.232711822384,1920.76569818047,0.15174532362274776,245.9513738856596,245.8139180053249,0.0009200330058740582,52767.419390050265,211.37464715120862,0.025012845857485613,0.00011825382779319907,-4498.192380755398,4200.0,0.29861478828188404
8000.0,36863.65856352122,244.91101261888323,244.78737244169525,0.0008310308790429317,52004.849115459976,0.0008364883239553144,244.8487867592202,0.00041813786942512885,51053.00469405557,248.72629944045656,248.54080486753818,0.0012279482390492862,56765.232711822384,1920.76569818047,0.1528227061715579,245.5324463572622,245.4001626530946,0.0008869069423066651,52759.5392212255,211.37464715120862,0.024891755206550084,0.00011798020515122838,-4498.192380755398,4200.0,0.29861478828188404
8050.0,36607.34446936574,244.49453026775453,244.37558713802957,0.0008008074353887751,52006.204116506124,0.0008058950972291081,244.43468105519992,0.00040284888792785736,51089.03064030371,248.33004379812743,248.15079740396007,0.001188451070082087,56765.232711822384,1920.76569818047,0.15389459916241172,245.11179283629895,244.98454237744977,0.0008546085381219547,52751.85981585324,211.37464715120862,0.024766794540513146,0.00011770817131573421,-4498.192380755398,4200.0,0.29861478828188404
