B,CAPE,dh,sat_def,P
82.70364651168697,4135.182325584347,-9735.211698665356,0.004061685872427307,8.947368421052632
85.59800405275965,4279.900202637981,-10077.044059953398,0.004024310795196766,9.473684210526315
88.3932803533707,4419.664017668534,-10405.955252854365,0.0039881771769073385,10.0
0.0,0.0,9.344220584571303,0.004941434421144732,0.0
8.881543518217839,444.07717591089187,-947.298493038812,0.004857283448394283,0.5263157894736842
16.507705114585324,825.3852557292665,-1810.4420785170005,0.004779235096279419,1.0526315789473684
23.25837160081982,1162.9185800409914,-2597.2516509448615,0.004680694986705279,1.5789473684210527
29.352115611585024,1467.6057805792507,-3320.1704009486784,0.0046133741769465,2.1052631578947367
34.92864190674089,1746.4320953370434,-3988.86732857849,0.004549979311759632,2.631578947368421
40.08372477469728,2004.186238734864,-4610.942358196793,0.004490071605141613,3.1578947368421053
44.886612271868735,2244.3306135934363,-5192.471173807346,0.004433285210167572,3.6842105263157894
49.38935641064541,2469.4678205322707,-5738.391584398778,0.004379311440541563,4.2105263157894735
53.63230922405887,2681.615461202943,-6252.774754125312,0.0043278868101125564,4.7368421052631575
57.647531832863024,2882.3765916431503,-6739.018937637462,0.0042787845669796844,5.263157894736842
61.46101776040138,3073.0508880200696,-7199.991628450727,0.004231808177664522,5.789473684210526
65.09421031808068,3254.710515904033,-7638.136834660974,0.004186785524469146,6.315789473684211
68.56504700333656,3428.252350166829,-8055.555028052069,0.004143565200085788,6.842105263157895
71.88874742498024,3594.4373712490105,-8454.06529035724,0.004102013472982408,7.368421052631579
75.07832608366297,3753.916304183149,-8835.255170108154,0.0040620108311045676,7.894736842105263
78.14498823509427,3907.2494117547144,-9200.516978832784,0.004023451019095686,8.421052631578947
81.09855204177096,4054.9276020885472,-9551.081400364972,0.003986237926587509,8.947368421052632
83.94764461459663,4197.382230729831,-9888.039086270226,0.003950285529908929,9.473684210526315
86.69980452708087,4334.990226354043,-10212.364174576578,0.00391551532560694,10.0
0.0,0.0,9.344220584571303,0.004824565842972105,0.0
8.676174923825672,433.8087461912835,-925.1026679296701,0.004744394316168048,0.5263157894736842
16.131305986344355,806.5652993172174,-1768.8725752213577,0.004669979896672668,1.0526315789473684
22.734887863138013,1136.744393156901,-2538.565310746344,0.004575294399463167,1.5789473684210527
28.69945022151269,1434.9725110756349,-3246.2472605002695,0.004511021828185595,2.1052631578947367
34.160735726685644,1708.0367863342813,-3901.2662983199116,0.004450459585241864,2.631578947368421
39.21187670640985,1960.5938353204926,-4510.981668894368,0.004393194873024516,3.1578947368421053
43.92013679605187,2196.0068398025924,-5081.278131755891,0.004338883407178516,3.6842105263157894
48.33609980105201,2416.8049900525994,-5616.939905204432,0.004287234437109541,4.2105263157894735
52.49897909714921,2624.9489548574616,-6121.912475053032,0.004237999808612385,4.7368421052631575
56.439933326831984,2821.9966663415985,-6599.490101633397,0.004190965933769092,5.263157894736842
60.184229411509094,3009.2114705754543,-7052.453535661953,0.004145947529585687,5.789473684210526
63.75271389141409,3187.635694570704,-7483.173704380883,0.004102782173312222,6.315789473684211
67.16287146558363,3358.143573279181,-7893.688344319235,0.004061327266514406,6.842105263157895
70.4294464644797,3521.472323223986,-8285.763744723867,0.0040214563253869705,7.368421052631579
73.56508386187762,3678.254193093884,-8660.940628634933,0.0039830567886875575,7.894736842105263
76.58073813546582,3829.036906773293,-9020.572080326354,0.003946028057610844,8.421052631578947
79.48597207263282,3974.298603631643,-9365.852920081634,0.003910279578580435,8.947368421052632
82.28909752260802,4114.4548761304,-9697.84403276111,0.0038757298092561144,9.473684210526315
84.99755254122985,4249.877627061491,-10017.491489689855,0.003842304782417308,10.0
0.0,0.0,9.344220584571303,0.004708065018002625,0.0
8.471220118938172,423.56100594690844,-902.9554423083755,0.004631762329387269,0.5263157894736842
15.755411395557315,787.7705697778656,-1727.3624240939098,0.004560885050220501,1.0526315789473684
22.211783762180964,1110.5891881090479,-2479.9211980475957,0.004469971455004104,1.5789473684210527
28.046889132677514,1402.3444566338762,-3172.3283677523505,0.004408672159010423,2.1052631578947367
33.39256273784616,1669.6281368923078,-3813.615884880288,0.0043508755869014456,2.631578947368421
38.33928753693435,1916.964376846717,-4410.906162531341,0.0042961937934192125,3.1578947368421053
42.95240031951948,2147.6200159759724,-4969.895973520339,0.004244303111482277,3.6842105263157894
47.281019574569946,2364.050978728498,-5495.218178757743,0.004194929973548266,4.2105263157894735
51.363230702210274,2568.161535110514,-5990.694264543512,0.004147840941802474,4.7368421052631575
55.2292976508911,2761.4648825445543,-6459.515766039869,0.004102835109525278,5.263157894736842
58.903789295878624,2945.189464793931,-6904.378120314694,0.00405973778295138,5.789473684210526
62.40696387335063,3120.348193667531,-7327.5795258624785,0.004018396090023053,6.315789473684211
65.75575235149283,3287.7876175746405,-7731.0960815847575,0.003978675732235837,6.842105263157895
68.96452065405732,3448.226032702868,-8116.6414630802465,0.003940457282278384,7.368421052631579
72.04558318079435,3602.279159039718,-8485.710237410189,0.003903634858286831,7.894736842105263
75.00960321211807,3750.4801606059004,-8839.61639284742,0.0038681132733770973,8.421052631578947
77.86579508740098,3893.28975437005,-9179.519389253488,0.0038338073664565832,8.947368421052632
80.62234497302484,4031.117248651239,-9506.450242560539,0.003800639886880477,9.473684210526315
83.28643486347572,4164.321743173788,-9821.327584093502,0.003768541241486868,10.0
0.0,0.0,9.344220584571303,0.004591929291173248,0.0
8.266676634133505,413.33383170667514,-880.8565400504449,0.004519386005051598,0.5263157894736842
15.380018539792681,769.0009269896342,-1685.9113695090782,0.004451949881826491,1.0526315789473684
21.689056864991194,1084.4528432495601,-2421.3192020734714,0.004364725999097498,1.5789473684210527
27.394430244599718,1369.7215122299863,-3098.4137737342608,0.004306325330598144,2.1052631578947367
32.6241285369951,1631.2064268497552,-3725.9162509963717,0.004251227625796392,2.631578947368421
37.465970588899644,1873.2985294449827,-4310.715961086833,0.004199068722606407,3.1578947368421053
41.98340331195058,2099.170165597529,-4858.324824301992,0.004149544535687929,3.6842105263157894
46.22411429265408,2311.205714632706,-5373.226293444692,0.004102398099893054,4.2105263157894735
50.22507197730911,2511.2535988654568,-5859.1196203321815,0.004057410053076064,4.7368421052631575
54.01565583816799,2700.7827919083993,-6319.095165563282,0.0040143915336881076,5.263157894736842
57.6197039742558,2880.9851987127913,-6755.763869997449,0.003973178109042074,5.789473684210526
61.056877255132285,3052.8438627566156,-7171.351980526961,0.00393362613293908,6.315789473684211
64.34363777396715,3217.1818886983597,-7567.775189736458,0.003895609001526909,6.842105263157895
67.4939626463701,3374.6981323185037,-7946.694229382207,0.0038590144355268247,7.368421052631579
70.51980906102429,3525.9904530512167,-8309.558984639443,0.00382374260005993,7.894736842105263
73.43147578049961,3671.573789024979,-8657.643512201568,0.0037897038913362745,8.421052631578947
76.23800517927805,3811.900258963902,-8992.073468575021,0.003756817966046453,8.947368421052632
78.94731297045362,3947.3656485226807,-9313.848868056652,0.0037250120901901624,9.473684210526315
81.56634636202324,4078.317318101159,-9623.862481506068,0.0036942204791928263,10.0
0.0,0.0,9.344220584571303,0.004476156038532646,0.0
8.062542026558297,403.12710132791483,-858.8056878793795,0.0044072638755152755,0.5263157894736842
15.005124647335661,750.2562323667831,-1644.5191585199354,0.00434317372335214,1.0526315789473684
21.16671157428994,1058.3355787144972,-2362.7592141719288,0.004259557880750434,1.5789473684210527
26.742071480367564,1337.1035740183781,-3024.503530881979,0.004203981508970528,2.1052631578947367
31.855410771671924,1592.7705385835957,-3638.167545436212,0.004151516023385392,2.631578947368421
36.59192734678386,1829.5963673391936,-4210.411353138959,0.0041018199269392255,3.1578947368421053
41.0131746232619,2050.658731163094,-4746.5647927335085,0.004054607913935195,3.6842105263157894
45.16541406456089,2258.270703228046,-5250.9641491278235,0.004009638875179523,4.2105263157894735
49.084508310795684,2454.2254155397864,-5727.18805019401,0.003966706986169027,4.7368421052631575
52.79896585475071,2639.948292737536,-6178.227397079398,0.0039256347270172015,5.263157894736842
56.33191419697418,2816.595709848709,-6606.609282482597,0.003886267694109529,5.789473684210526
59.702431415090494,2985.121570754524,-7014.489093966804,0.003848471023676972,6.315789473684211
62.92653595235576,3146.326797617788,-7403.722635115162,0.003812125488657424,6.842105263157895
66.01775320522535,3300.887660261265,-7775.918343745252,0.0037771257127623917,7.368421052631579
68.98767021558008,3449.383510779004,-8132.481866753238,0.003743377579238018,7.894736842105263
71.84634661253601,3592.3173306268013,-8474.647631690998,0.003710796968159521,8.421052631578947
74.6025473035306,3730.127365176529,-8803.507810642186,0.0036793080502870628,8.947368421052632
77.26390259988351,3863.1951299941766,-9120.03170161682,0.003648842542118356,9.473684210526315
79.8372987295269,3991.8649364763473,-9425.085998671748,0.0036193383055990068,10.0
0.0,0.0,9.344220584571303,0.004360742666729482,0.0
7.858813879508996,392.94069397544996,-836.8026153222017,0.004295394488250626,0.5263157894736842
14.630726976712259,731.5363488356129,-1603.18554081388,0.004234555913502689,1.0526315789473684
20.644752534534838,1032.2376267267418,-2304.2411277678475,0.004154466952149314,1.5789473684210527
26.089810797186015,1304.4905398593012,-2950.5976944802314,0.004101640860178189,2.1052631578947367
31.086407083103477,1554.320354155174,-3550.3699224520024,0.004051741101443126,2.631578947368421
35.71713489842099,1785.8567449210493,-4109.992538218314,0.004004447736593371,3.1578947368421053
40.041672479854384,2002.083623992719,-4634.615995908876,0.003959493487456084,3.6842105263157894
44.104870733676165,2205.243536683808,-5128.431642247415,0.003916652376269284,4.2105263157894735
47.941498894918524,2397.074944745926,-5594.899279541452,0.003875731501442117,4.7368421052631575
51.57920139791678,2578.96006989584,-6036.9115742215,0.0038365642219367877,5.263157894736842
55.040398731835644,2752.0199365917833,-6456.912693909639,0.0037990058194618858,5.789473684210526
58.34364904447749,2917.1824522238744,-6856.988677561989,0.003762929584817173,6.315789473684211
61.50441132549241,3075.2205662746205,-7238.935251356532,0.003728223668725389,6.842105263157895
64.53581712819295,3226.7908564096488,-7604.309916248123,0.0036947890965218257,7.368421052631579
67.44915640664132,3372.4578203320652,-7954.473712145977,0.0036625374198916917,7.894736842105263
70.25417398871105,3512.7086994355523,-8290.622691254197,0.0036313896066393447,8.421052631578947
72.95932088300663,3647.96604415033,-8613.814768892335,0.003601274376129098,8.947368421052632
75.57212685998356,3778.606342999178,-8924.990082204065,0.0035721274531276097,9.473684210526315
78.099132758506,3904.956637925302,-9224.988156600906,0.0035438904795848623,10.0
0.0,0.0,9.344220584571303,0.0042456866125114906,0.0
7.655489802109178,382.7744901054587,-814.8470546774552,0.004183776405523822,0.5263157894736842
14.256822816217422,712.8411408108709,-1561.9102686677943,0.004126095797715599,1.0526315789473684
20.123163577719083,1006.1581788859539,-2245.7648381440813,0.0040494530691457635,1.5789473684210527
25.43764510713932,1271.882255356966,-2876.696302714641,0.0039993035655954915,2.1052631578947367
30.317116124005018,1515.8558062002521,-3462.5236082445626,0.003951903143048177,2.631578947368421
34.84159043796413,1742.079521898206,-4009.45972146876,0.003906952486748921,3.1578947368421053
39.06889264046515,1953.4446320232564,-4522.478559364921,0.0038642015045765726,3.6842105263157894
43.04247670378007,2152.1238351890024,-5005.628594684153,0.003823438734104455,4.2105263157894735
