z,T_rho,T,p,qv,qsat,ql,qi,h,T_env,q_env,h_env,ent
2550.0,285.30658257003057,283.4930944404145,74710.11159257754,0.010524919576637242,0.010524919576637242,0.0,0.0,61834.46184287109,283.99404101049714,0.007604144994655049,55010.58856017578,0.000196078431372549
2600.0,285.0271152443661,283.235622955404,74263.97869740083,0.010406714066701036,0.010406714066701036,0.0,0.0,61767.01825438655,283.7308947849222,0.00751655427268134,55014.8475163307,0.0001923076923076923
2650.0,284.7476121027082,282.9779295268389,73820.0763772545,0.01028938371715257,0.01028938371715257,0.0,0.0,61701.59830281433,283.4675664261079,0.007429654957134488,55020.697347499074,0.00018867924528301886
2700.0,284.4680420922755,282.7199870825543,73378.39559606077,0.010172908453430012,0.010172908453430012,0.0,0.0,61638.12363388663,283.20402800544247,0.007343431382974031,55028.070043181324,0.00018518518518518518
2750.0,284.188375430533,282.461769563063,72938.92729831219,0.010057269551629215,0.010057269551629215,0.0,0.0,61576.5203371847,282.94025266710867,0.007257868916319243,55036.9012880622,0.0001818181818181818
2800.0,283.90858350366847,282.20325183875235,72501.66241201381,0.0099424495411484,0.0099424495411484,0.0,0.0,61516.71861574113,282.67621454098304,0.00717295387967485,55047.13018454624,0.00017857142857142857
2850.0,283.62863877419517,281.94440963450774,72066.59185140794,0.009828432116194425,0.009828432116194425,0.0,0.0,61458.65248559801,282.4118886633518,0.007088673483959731,55058.699000424116,0.00017543859649122806
2900.0,283.3485146967099,281.68521946097496,71633.70651950149,0.009715202055202439,0.009715202055202439,0.0,0.0,61402.25950212295,282.1472509046148,0.007005015766609946,55071.55293898666,0.00017241379310344826
2950.0,283.0681856409597,281.42565855177213,71202.99731041188,0.009602745147337215,0.009602745147337215,0.0,0.0,61347.48051027881,281.8822779032502,0.0069219695351180255,55085.6399292358,0.00016949152542372882
3000.0,282.7876268214668,281.16570480604327,70774.45511154797,0.009491048125344329,0.009491048125344329,0.0,0.0,61294.25941637874,281.6169470054018,0.00683952431544639,55100.91043412281,0.00016666666666666666
3050.0,282.5068142330524,280.9053367358171,70348.07080563884,0.00938009860410478,0.00938009860410478,0.0,0.0,61242.54297914689,281.3512362095205,0.006757670304817914,55117.31727498154,0.0001639344262295082
3100.0,282.2257245916782,280.6445334176984,69923.83527262454,0.009269885024323138,0.009269885024323138,0.0,0.0,61192.28061816278,281.08512411556717,0.006676398328448029,55134.81547055462,0.00016129032258064516
3150.0,281.9443352800858,280.3832744484715,69501.73939141784,0.00916039660084286,0.00916039660084286,0.0,0.0,61143.42423798215,280.81858987832913,0.006595699799827181,55153.36208916922,0.00015873015873015873
3200.0,281.66262429777896,280.12153990424434,69081.77404154961,0.009051623275140266,0.009051623275140266,0.0,0.0,61095.928066421984,280.5516131644627,0.0065155666842116235,55172.91611280493,0.00015625
3250.0,281.3805702149401,279.8593103028021,68663.93010470518,0.008943555671597795,0.008943555671597795,0.0,0.0,61049.74850566367,280.2841741129112,0.006435991465014783,55193.43831191925,0.00015384615384615385
3300.0,281.0981521299166,279.59656656887574,68248.19846616095,0.008836185057200619,0.008836185057200619,0.0,0.0,61004.84399497449,280.01625329838834,0.006356967112826088,55214.89113002609,0.00015151515151515152
3350.0,280.8153496299571,279.33329000206305,67834.57001612896,0.00872950330433896,0.00872950330433896,0.0,0.0,60961.17488397779,279.74783169765107,0.006278487056814333,55237.23857713268,0.00014925373134328358
3400.0,280.53214275490427,279.0694622471671,67423.03565101606,0.00862350285643175,0.00862350285643175,0.0,0.0,60918.70331551347,279.4788906583146,0.006200545158296519,55260.446131230376,0.00014705882352941175
