CAPE_u,CAPE_ext,CAPE_dist,dh,sat_def,P,RH,dz,ent_b
,,,-12396.433643705372,0.003737921863485972,19.0,0.13999999999999999,4100.0,0.0009973977027997127
,,,-12354.662882103708,0.0036522036934996437,20.0,0.13999999999999999,4100.0,0.00104989231873654
,,,-12304.79975524544,0.0035719877860858696,21.0,0.13999999999999999,4100.0,0.0011023869346733668
,,,-12244.123580263535,0.003497770697735707,22.0,0.13999999999999999,4100.0,0.001148959081119885
,,,-12188.436310133344,0.0034254129369462394,23.0,0.13999999999999999,4100.0,0.0012011844938980617
,,,-12137.454556532473,0.0033545225805909178,24.0,0.13999999999999999,4100.0,0.0012534099066762382
,,,-12072.583062810889,0.0032914242946840582,25.0,0.13999999999999999,4100.0,0.001305635319454415
,,,-12000.599839777868,0.0032300508541838542,26.0,0.13999999999999999,4100.0,0.0013578607322325914
,,,-11934.645462494984,0.003170459781149045,27.0,0.13999999999999999,4100.0,0.001402817659727207
,,,-11872.800011771731,0.003102636402200011,28.0,0.13999999999999999,4050.0,0.0014547738693467336
,,,-11806.33962741727,0.0030498062076559757,29.0,0.13999999999999999,4050.0,0.0015067300789662597
,,,-11733.683099589944,0.0029983423399799923,30.0,0.13999999999999999,4050.0,0.0015586862885857858
0.0,0.0,0.0,-2.628212131370674,0.007916317396456991,0.0,0.18,4300.0,0.0
,,,-4340.493683918059,0.007324458870714887,1.0,0.18,4300.0,5.357142857142857e-05
,,,-6813.110948034468,0.0068092742808880365,2.0,0.18,4250.0,0.00010660445082555634
,,,-8397.091228855563,0.006417238293522762,3.0,0.18,4250.0,0.0001599066762383345
,,,-9480.336994071855,0.006082521132540979,4.0,0.18,4250.0,0.00021320890165111268
,,,-10251.053015237158,0.005792458475041402,5.0,0.18,4250.0,0.0002665111270638909
,,,-10816.029747540902,0.005510712584330815,6.0,0.18,4200.0,0.000319813352476669
,,,-11235.586049573809,0.005285595773306917,7.0,0.18,4200.0,0.00037123115577889453
,,,-11548.839271717276,0.005084014449851713,8.0,0.18,4200.0,0.0004242641780330223
,,,-11787.537114291568,0.004900481858599301,9.0,0.18,4200.0,0.00047729720028715
,,,-11962.853889189631,0.004735149439626048,10.0,0.18,4200.0,0.0005303302225412779
,,,-12090.718278937311,0.00456410782625019,11.0,0.18,4150.0,0.0005833632447954057
,,,-12192.964302637338,0.004423518570792306,12.0,0.18,4150.0,0.0006331658291457286
,,,-12255.97613383767,0.004296338283844646,13.0,0.18,4150.0,0.000685929648241206
,,,-12299.867525877191,0.004176534482999882,14.0,0.18,4150.0,0.0007386934673366835
,,,-12324.141172470954,0.004065839298243991,15.0,0.18,4150.0,0.0007914572864321607
,,,-12333.5043649363,0.003962946966985632,16.0,0.18,4150.0,0.0008442211055276382
,,,-12333.670764066992,0.0038652087745855777,17.0,0.18,4150.0,0.0008924084709260588
,,,-12321.46212976941,0.0037741918679521443,18.0,0.18,4150.0,0.0009449030868628858
,,,-12297.213520998645,0.003674826627592829,19.0,0.18,4100.0,0.0009973977027997127
,,,-12272.142959826728,0.0035935993883626244,20.0,0.18,4100.0,0.00104989231873654
,,,-12238.342245647305,0.003517497799676968,21.0,0.18,4100.0,0.0011023869346733668
,,,-12193.075299080308,0.003446994053817368,22.0,0.18,4100.0,0.001148959081119885
,,,-12152.186433439238,0.0033781610774994645,23.0,0.18,4100.0,0.0012011844938980617
,,,-12115.339079856552,0.003310657634905492,24.0,0.18,4100.0,0.0012534099066762382
,,,-12064.352404768557,0.0032504670955990967,25.0,0.18,4100.0,0.001305635319454415
,,,-12005.488636007605,0.0031918836195099,26.0,0.18,4100.0,0.0013578607322325914
,,,-11952.586266291306,0.0031349477888680034,27.0,0.18,4100.0,0.001402817659727207
,,,-11903.212005450885,0.003080155423449136,28.0,0.18,4100.0,0.0014547738693467336
,,,-11848.035549864617,0.003029314966911396,29.0,0.18,4100.0,0.0015067300789662597
,,,-11786.73005194516,0.0029797837732068403,30.0,0.18,4100.0,0.0015586862885857858
0.0,0.0,0.0,-2.628212131370674,0.007492256451488824,0.0,0.22,4300.0,0.0
,,,-4127.546146794775,0.0069625725832402055,1.0,0.22,4300.0,5.357142857142857e-05
,,,-6503.800336853499,0.006533646094011084,2.0,0.22,4300.0,0.00010660445082555634
,,,-8043.552105133793,0.006141586881239102,3.0,0.22,4250.0,0.0001599066762383345
